Neighborhood,Id,FinishedBasement,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,Basement,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,BathTotal,KitchenAbvGr,TotRmsAbvGrd,GarageCars,WoodDeckSF,OpenPorchSF,LOG(Porch),EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,SalePrice,Zeros,YearBuilt2,YearsFromNow,LOG(YFN),OverallQual,OverallCond,ExterQual_NUM,ExterCond_NUM,KitchenQual_NUM,QUALITY,logqual,tot_porch
Blmngtn,220,1,16,0,1232,1,1248,1248,0,1248,0,0,2,0,2,2,1,5,2,108,0,0.01,0,0,0,0,167240,10,2005,15,1.176091259,7,5,4,3,4,23,1.740362689,0
Blmngtn,230,1,16,0,1357,1,1373,1555,0,1555,0,0,2,0,2,2,1,7,2,143,20,1.301029996,0,0,0,0,192500,9,2005,15,1.176091259,7,5,4,3,4,23,1.740362689,0
Blmngtn,386,1,24,0,1232,1,1256,1269,0,1269,0,0,2,0,2,2,1,6,2,146,20,1.301029996,0,0,144,0,192000,8,2004,16,1.204119983,8,5,4,3,4,24,1.77815125,144
Blmngtn,444,0,0,0,1258,1,1258,1258,0,1258,0,0,2,0,2,2,1,6,3,144,16,1.204119983,0,0,0,0,172500,11,2006,14,1.146128036,7,5,4,3,4,23,1.740362689,0
Blmngtn,466,0,0,0,1375,1,1375,1414,0,1414,0,0,2,0,2,2,1,6,2,144,20,1.301029996,0,0,0,0,178740,11,2004,16,1.204119983,7,5,4,3,4,23,1.740362689,0
Blmngtn,560,0,0,0,1374,1,1374,1557,0,1557,0,0,2,0,2,2,1,7,2,143,20,1.301029996,0,0,0,0,234000,11,2003,17,1.230448921,7,5,4,3,4,23,1.740362689,0
Blmngtn,598,0,0,0,1258,1,1258,1402,0,1402,0,2,0,2,2,1,1,7,3,120,16,1.204119983,0,0,0,0,194201,10,2006,14,1.146128036,7,5,4,3,4,23,1.740362689,0
Blmngtn,640,1,1154,0,366,1,1520,1567,0,1567,1,0,2,0,1,2,1,7,3,312,0,0.01,0,0,0,0,264561,9,2006,14,1.146128036,8,5,4,3,5,25,1.792391689,0
Blmngtn,791,1,16,0,1129,1,1145,1145,0,1145,0,0,2,0,2,2,1,5,2,100,16,1.204119983,0,0,0,0,160200,9,2005,15,1.176091259,7,5,4,3,4,23,1.740362689,0
Blmngtn,852,0,0,0,1273,1,1273,1456,0,1456,0,0,2,0,2,2,1,7,2,143,20,1.301029996,0,0,0,0,215000,11,2003,17,1.230448921,8,5,4,3,4,24,1.77815125,0
Blmngtn,983,0,0,0,1266,1,1266,1266,0,1266,0,0,2,0,2,2,1,6,2,100,16,1.204119983,0,0,0,0,159895,11,2007,13,1.113943352,7,5,4,3,4,23,1.740362689,0
Blmngtn,1005,1,16,0,1330,1,1346,1504,0,1504,0,0,2,0,1,2,1,7,2,156,0,0.01,0,0,0,0,181000,10,2005,15,1.176091259,7,5,4,3,4,23,1.740362689,0
Blmngtn,1020,1,16,0,1346,1,1362,1506,0,1506,0,0,2,0,2,2,1,6,2,142,20,1.301029996,0,0,0,0,213490,9,2005,15,1.176091259,7,5,4,3,4,23,1.740362689,0
Blmngtn,1024,1,16,0,1330,1,1346,1504,0,1504,0,0,2,0,2,2,1,7,2,156,20,1.301029996,0,0,0,0,191000,9,2005,15,1.176091259,7,5,4,3,4,23,1.740362689,0
Blmngtn,1127,0,0,0,1373,1,1373,1555,0,1555,0,0,2,0,2,2,1,7,3,143,20,1.301029996,0,0,0,0,174000,11,2007,13,1.113943352,7,5,4,3,4,23,1.740362689,0
Blmngtn,1395,1,1070,0,286,1,1356,1500,0,1500,1,0,2,0,2,2,1,6,3,161,20,1.301029996,0,0,0,0,246578,8,2006,14,1.146128036,7,5,4,3,4,23,1.740362689,0
Blmngtn,1416,1,988,0,398,1,1386,1569,0,1569,0,1,2,0,1,2,1,7,3,143,20,1.301029996,0,0,0,0,175900,8,2007,13,1.113943352,7,5,4,3,4,23,1.740362689,0
Blueste,600,1,81,612,23,1,716,716,840,1556,1,0,2,1,3,2.5,1,6,2,161,0,0.01,0,0,0,0,151000,6,1980,40,1.602059991,6,6,3,4,3,22,1.73239376,0
Blueste,957,1,285,0,276,1,561,561,668,1229,0,0,1,1,2,1.5,1,5,2,150,0,0.01,0,0,0,0,124000,8,1980,40,1.602059991,6,6,3,3,3,21,1.707570176,0
BrDale,226,0,0,0,630,1,630,630,672,1302,0,0,2,1,3,2.5,1,6,1,0,0,0.01,0,0,0,0,112000,11,1971,49,1.69019608,5,5,3,3,3,19,1.602059991,0
BrDale,228,1,321,0,162,1,483,483,504,987,0,0,1,1,2,1.5,1,5,1,0,0,0.01,0,0,0,0,106000,9,1970,50,1.698970004,6,6,3,3,3,21,1.707570176,0
BrDale,233,0,0,0,483,1,483,483,504,987,0,0,1,1,2,1.5,1,5,1,0,0,0.01,0,0,0,0,94500,11,1972,48,1.681241237,6,5,3,3,3,20,1.653212514,0
BrDale,236,1,358,0,125,1,483,483,504,987,0,0,1,1,2,1.5,1,5,1,0,0,0.01,0,0,0,0,89500,9,1971,49,1.69019608,6,3,3,3,3,18,1.51851394,0
BrDale,364,1,162,0,321,1,483,483,504,987,0,0,1,1,2,1.5,1,5,1,250,0,0.01,0,0,0,0,118000,8,1972,48,1.681241237,6,8,3,3,4,24,1.812913357,0
BrDale,431,1,387,0,96,1,483,483,504,987,0,0,1,1,2,1.5,1,4,1,0,0,0.01,0,0,0,0,85400,9,1971,49,1.69019608,6,5,3,3,3,20,1.653212514,0
